ts,serialNo,home,batteryVoltageMilliV,insideTemperatureCentiC,humidityMilliPerc
2018-11-24,VA2048854528,174376,2720.4788,2128.8403,570.37103
2018-11-25,VA2048854528,174376,2720.9778,1974.9236,626.1242
2018-11-26,VA2048854528,174376,2720.7214,1960.4747,629.61395
2018-11-27,VA2048854528,174376,2719.4807,1958.1045,632.4179
2018-11-28,VA2048854528,174376,2718.293,2056.1084,644.7229
2018-11-29,VA2048854528,174376,2718.455,2031.3024,643.1096
2018-11-30,VA2048854528,174376,2716.9832,2021.9327,636.67786
2018-12-01,VA2048854528,174376,2715.9705,2069.25,626.2039
2018-12-02,VA2048854528,174376,2716.547,2084.4321,654.6655
2018-12-03,VA2048854528,174376,2716.4763,2034.6182,674.8473
2018-12-04,VA2048854528,174376,2709.991,1960.045,659.1261
2018-12-05,VA2048854528,174376,2708.7004,2057.228,642.6515
2018-12-06,VA2048854528,174376,2708.4895,2089.451,648.9466
2018-12-07,VA2048854528,174376,2694.9258,2100.5,641.6318
2018-12-08,VA2048854528,174376,2691.1108,2278.4666,592.4596
2018-12-09,VA2048854528,174376,2963.9778,2040.4778,635.4185
2018-12-10,VA2048854528,174376,3236.406,1978.8218,640.49506
2018-12-11,VA2048854528,174376,3225.3857,1951.0143,605.9171
2018-12-12,VA2048854528,174376,3213.2253,2030.1771,614.3994
2018-12-13,VA2048854528,174376,3203.5027,1922.2273,607.16846
2018-12-14,VA2048854528,174376,3192.5537,1973.8201,585.9182
2018-12-15,VA2048854528,174376,3182.2773,1990.3,587.43225
2018-12-16,VA2048854528,174376,3172.0588,2014.2288,606.4085
2018-12-17,VA2048854528,174376,3165.6667,2026.2233,606.20386
2018-12-18,VA2048854528,174376,3164.0,1975.3799,621.2325400000002
2018-12-19,VA2048854528,174376,3160.4885,1980.114,634.54395
2018-12-20,VA2048854528,174376,3147.996,1879.3529,631.26666
2018-12-21,VA2048854528,174376,3137.7407,1984.5927,629.0
2018-12-22,VA2048854528,174376,3130.5508,1944.5701,653.0773
2018-12-23,VA2048854528,174376,3124.5742,1988.9437,668.66266
2018-12-24,VA2048854528,174376,3118.2715,2075.8552,628.7792
2018-12-25,VA2048854528,174376,3112.866,2041.3485,628.8284
2018-12-26,VA2048854528,174376,3107.9182,1999.3308,647.8364
2018-12-27,VA2048854528,174376,3103.4949,1963.0906,646.05225
2018-12-28,VA2048854528,174376,3098.3918,1995.7365,641.1182
